,Movie_name,ID,Rating,CoverPic,Generic,Year,path
27,The Iron Giant , 0129167,8.0,https://ia.media-imdb.com/images/M/MV5BMjIxNDU2Njk0OV5BMl5BanBnXkFtZTgwODc3Njc3NjE@.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Sci-Fi']",1999,/media/putus/12EA5AFBEA5ADA95/tamil/The.Iron.Giant.1999.720p.BluRay.800MB.ShAaNiG.mkv
28,Rum , 6544384,6.0,https://ia.media-imdb.com/images/M/MV5BZGZhYTJlNTItY2I5Mi00MjVhLWJkZjMtNTYwMTFjMmU1YTliXkEyXkFqcGdeQXVyNjg5NzkxNTU@.jpg,['Horror'],2017,/media/putus/12EA5AFBEA5ADA95/tamil/[ Jappstube ] Rum (2017) Tamil DVDRip.mp4
29,The Ghazi Attack , 6299040,7.7,https://ia.media-imdb.com/images/M/MV5BNjJjODRlNTctM2IxYS00ZGQ4LTg2ZTItMTFiOTJkM2EyNmY4L2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@.jpg,"['Action', 'History', 'Thriller', 'War']",2017,/media/putus/12EA5AFBEA5ADA95/tamil/[ Jappstube ] The Ghazi Attack (2017) Tamil DVDRip.mp4
30,Jil Jung Juk , 5459644,6.8,https://ia.media-imdb.com/images/M/MV5BMTIwOTAzNDEtMmE3MS00OWI2LWI0ZTEtMGY2MDZmZjk1ZTliXkEyXkFqcGdeQXVyMTk2OTE5NzA@.jpg,"['Action', 'Comedy', 'Crime', 'Drama']",2016,/media/putus/12EA5AFBEA5ADA95/tamil/[ www.jappstube.com ] Jil Jung Juk (2016) Tamil DVDRip.mp4
31,Hacksaw Ridge - HD , 2119532,8.2,https://ia.media-imdb.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@.jpg,"['Biography', 'Drama', 'History', 'War']",2016,/media/putus/12EA5AFBEA5ADA95/tamil/[fmovies.to] Hacksaw Ridge - HD 1080p.mp4
32,John Wick - HD , 2911666,7.3,https://ia.media-imdb.com/images/M/MV5BMTU2NjA1ODgzMF5BMl5BanBnXkFtZTgwMTM2MTI4MjE@.jpg,"['Action', 'Crime', 'Thriller']",2014,/media/putus/12EA5AFBEA5ADA95/tamil/[fmovies.to] John Wick - HD 720p.mp4
33,Transformers - HD , 0418279,7.1,https://ia.media-imdb.com/images/M/MV5BNDg1NTU2OWEtM2UzYi00ZWRmLWEwMTktZWNjYWQ1NWM1OThjXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"['Action', 'Adventure', 'Sci-Fi']",2007,/media/putus/12EA5AFBEA5ADA95/Transformers/[fmovies.to] Transformers - HD 1080p.mp4
34,Transformers  Age Of Extinction - HD , 2109248,5.7,https://ia.media-imdb.com/images/M/MV5BMjE1OTMyODA5M15BMl5BanBnXkFtZTgwMjc2MDk3MTE@.jpg,"['Action', 'Adventure', 'Sci-Fi']",2014,/media/putus/12EA5AFBEA5ADA95/Transformers/[fmovies.to] Transformers_ Age Of Extinction - HD 720p.mp4
35,Transformers  Dark Of The Moon - HD , 1399103,6.3,https://ia.media-imdb.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@.jpg,"['Action', 'Adventure', 'Sci-Fi']",2011,/media/putus/12EA5AFBEA5ADA95/Transformers/[fmovies.to] Transformers_ Dark Of The Moon - HD 1080p.mp4
36,Stranger Things , 4574334,8.9,https://ia.media-imdb.com/images/M/MV5BMjUwMDgzOTg3Nl5BMl5BanBnXkFtZTgwNTI4MDk5MzI@.jpg,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",2016,/media/putus/7C1850F81850B2BE/stranger things 2/Stranger.Things.S02E01.Chapter.One.MADMAX.1080p.NF.WEB-DL.6CH.MkvCage.mkv
37,Stranger Things , 4574334,8.9,https://ia.media-imdb.com/images/M/MV5BMjUwMDgzOTg3Nl5BMl5BanBnXkFtZTgwNTI4MDk5MzI@.jpg,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",2016,/media/putus/7C1850F81850B2BE/stranger things 2/Stranger.Things.S02E02.Chapter.Two.Trick.or.Treat.Freak.1080p.NF.WEB-DL.6CH.MkvCage.mkv
38,Stranger Things , 4574334,8.9,https://ia.media-imdb.com/images/M/MV5BMjUwMDgzOTg3Nl5BMl5BanBnXkFtZTgwNTI4MDk5MzI@.jpg,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",2016,/media/putus/7C1850F81850B2BE/stranger things 2/Stranger.Things.S02E03.Chapter.Three.The.Pollywog.1080p.NF.WEB-DL.6CH.MkvCage.mkv
39,Stranger Things , 4574334,8.9,https://ia.media-imdb.com/images/M/MV5BMjUwMDgzOTg3Nl5BMl5BanBnXkFtZTgwNTI4MDk5MzI@.jpg,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",2016,/media/putus/7C1850F81850B2BE/stranger things 2/Stranger.Things.S02E04.Chapter.Four.Will.the.Wise.1080p.NF.WEB-DL.6CH.MkvCage.mkv
40,Stranger Things , 4574334,8.9,https://ia.media-imdb.com/images/M/MV5BMjUwMDgzOTg3Nl5BMl5BanBnXkFtZTgwNTI4MDk5MzI@.jpg,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",2016,/media/putus/7C1850F81850B2BE/stranger things 2/Stranger.Things.S02E05.Chapter.Five.Dig.Dug.1080p.NF.WEB-DL.6CH.MkvCage.mkv
41,Stranger Things , 4574334,8.9,https://ia.media-imdb.com/images/M/MV5BMjUwMDgzOTg3Nl5BMl5BanBnXkFtZTgwNTI4MDk5MzI@.jpg,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",2016,/media/putus/7C1850F81850B2BE/stranger things 2/Stranger.Things.S02E06.Chapter.Six.The.Spy.1080p.NF.WEB-DL6CH.MkvCage.mkv
42,Stranger Things , 4574334,8.9,https://ia.media-imdb.com/images/M/MV5BMjUwMDgzOTg3Nl5BMl5BanBnXkFtZTgwNTI4MDk5MzI@.jpg,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",2016,/media/putus/7C1850F81850B2BE/stranger things 2/Stranger.Things.S02E07.Chapter.Seven.The.Lost.Sister.1080p.NF.WEB-DL.6CH.MkvCage.mkv
43,Stranger Things , 4574334,8.9,https://ia.media-imdb.com/images/M/MV5BMjUwMDgzOTg3Nl5BMl5BanBnXkFtZTgwNTI4MDk5MzI@.jpg,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",2016,/media/putus/7C1850F81850B2BE/stranger things 2/Stranger.Things.S02E08.Chapter.Eight.The.Mind.Flayer.1080p.NF.WEB-DL.6CH.MkvCage.mkv
44,Stranger Things , 4574334,8.9,https://ia.media-imdb.com/images/M/MV5BMjUwMDgzOTg3Nl5BMl5BanBnXkFtZTgwNTI4MDk5MzI@.jpg,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",2016,/media/putus/7C1850F81850B2BE/stranger things 2/Stranger.Things.S02E09.Chapter.Nine.The.Gate.1080p.NF.WEB-DL.6CH.MkvCage.mkv
45,Zootopia , 2948356,8.0,https://ia.media-imdb.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@.jpg,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Mystery']",2016,/media/putus/7C1850F81850B2BE/Zootopia (2016) [YTS.AG]/Zootopia.2016.720p.BluRay.x264-[YTS.AG].mp4
46,Naam Shabana , 6170954,6.3,https://ia.media-imdb.com/images/M/MV5BMTkxMDk1Mjc2NF5BMl5BanBnXkFtZTgwNjk4Njk3MTI@.jpg,"['Action', 'Adventure', 'Thriller']",2017,/media/putus/7C1850F81850B2BE/From Ranjith/Naam Shabana 2017 Hindi 720p (Upscale) DvDRip x264 AAC - Tara/Naam Shabana 2017 Hindi 720p (Upscale) DvDRip x264 AAC - Tara.mkv
47,Baahubali 2 The Conclusion , 4849438,8.4,https://ia.media-imdb.com/images/M/MV5BODIxNGJjOTYtZDY3YS00N2YwLWEzMjUtNTY0OGE3MzgyNDRiXkEyXkFqcGdeQXVyMjQ1Mzg2ODE@.jpg,"['Action', 'Drama', 'Fantasy']",2017,/media/putus/BackUp/System Volume Information/Baahubali 2 The Conclusion (2017) www.Hetlerbazar.wapka.me DesiSCR MP3 (1).mkv
48,Pirates of the Caribbean Dead Men Tell No Tales , 1790809,6.6,https://ia.media-imdb.com/images/M/MV5BMTYyMTcxNzc5M15BMl5BanBnXkFtZTgwOTg2ODE2MTI@.jpg,"['Action', 'Adventure', 'Fantasy']",2017,/media/putus/BackUp/Pirates of the Caribbean Dead Men Tell No Tales (2017) 720p HDTS x264 [Dual-Audio][Hindi - English] ESubs - Downloadhub/Pirates of the Caribbean Dead Men Tell No Tales (2017) 720p HDTS x264 [Dual-Audio][Hindi -.mkv
49,American gods , 1898069,8.1,https://ia.media-imdb.com/images/M/MV5BY2ViNGI1ZGUtYmUyNS00ZWU0LWExOTQtMDMwZjQ2ZWJhNmRhXkEyXkFqcGdeQXVyNjYxMDUzODc@.jpg,"['Drama', 'Fantasy', 'Mystery']",2017,/media/putus/BackUp/Untitled Folder/donwload/American.gods.S01E06.720p.WEBRip.Dual.WWW.COMANDOTORRENTS.COM.mkv
50,Her , 1798709,8.0,https://ia.media-imdb.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@.jpg,"['Drama', 'Romance', 'Sci-Fi']",2013,/media/putus/BackUp/Games/Her (2013) [1080p]/Her.2013.1080p.BluRay.x264.YIFY.mp4
51,Despicable Me 2 , 1690953,7.4,https://ia.media-imdb.com/images/M/MV5BMjExNjAyNTcyMF5BMl5BanBnXkFtZTgwODQzMjQ3MDE@.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",2013,/media/putus/BackUp/Despicable Me 2 (2013)/Despicable.Me.2.2013.720p.BluRay.x264.YIFY.mp4
52,Despicable Me , 1323594,7.7,https://ia.media-imdb.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",2010,/media/putus/BackUp/Despicable Me (2010)/Despicable.Me.2010.720p.BluRay.x264.YIFY.mp4
